media_type,media_series,creation_category,date,time_start,time_end,duration,media_title,video_type,video_subtype
Video Games,Soulsborne Games,Video notes,2/13/2023,10:45:00 AM,10:48:00 AM,3,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Processing Raw Video,2/13/2023,10:49:00 AM,10:52:00 AM,3,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Video notes,2/13/2023,10:53:00 AM,11:10:00 AM,17,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Promoting,2/13/2023,11:10:00 AM,11:16:00 AM,6,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Video notes,2/13/2023,11:16:00 AM,11:27:00 AM,11,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Video notes,2/13/2023,1:17:00 PM,1:51:00 PM,34,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Recording Audio,2/13/2023,3:46:00 PM,3:54:00 PM,8,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Recording Audio,2/13/2023,4:01:00 PM,4:18:00 PM,17,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Video Notes,2/13/2023,11:14:00 PM,11:47:00 PM,33,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Research Youtube,2/14/2023,8:38:00 AM,8:44:00 AM,6,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Promoting,2/14/2023,9:40:00 AM,9:56:00 AM,16,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Recording Audio,2/14/2023,9:58:00 AM,10:53:00 AM,55,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Promoting,2/14/2023,10:54:00 AM,11:09:00 AM,15,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Recording Audio,2/14/2023,11:11:00 AM,11:39:00 AM,28,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Editing Video,2/14/2023,3:27:00 PM,4:32:00 PM,65,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Processing Raw Video,2/15/2023,9:11:00 AM,9:33:00 AM,22,Elden Ring,Review,Demi Human Chief
Video Games,Soulsborne Games,Video notes,2/15/2023,10:58:00 AM,11:25:00 AM,27,Elden Ring,Review,Demi Human Chief
Video Games,Soulsborne Games,Recording Audio,2/15/2023,11:26:00 AM,12:19:00 PM,53,Elden Ring,Review,Demi Human Chief
Video Games,Soulsborne Games,Editing Audio,2/15/2023,12:20:00 PM,1:28:00 PM,68,Elden Ring,Review,Demi Human Chief
Video Games,Soulsborne Games,Editing Video,2/15/2023,4:29:00 PM,4:52:00 PM,23,Elden Ring,Review,Demi Human Chief
Video Games,Soulsborne Games,Editing Video,2/15/2023,5:12:00 PM,5:33:00 PM,21,Elden Ring,Review,Demi Human Chief
Video Games,Soulsborne Games,Editing Video,2/15/2023,10:45:00 PM,11:17:00 PM,32,Elden Ring,Review,Demi Human Chief
Video Games,Soulsborne Games,Editing Video,2/16/2023,8:20:00 AM,10:53:00 AM,153,Elden Ring,Review,Demi Human Chief
Video Games,Soulsborne Games,Editing Video,2/16/2023,11:08:00 AM,11:17:00 AM,9,Elden Ring,Review,Demi Human Chief
Video Games,Soulsborne Games,Stats,2/16/2023,11:18:00 AM,11:31:00 AM,13,Elden Ring,Review,Demi Human Chief
Video Games,Soulsborne Games,Editing Video,2/16/2023,11:50:00 AM,12:32:00 PM,42,Elden Ring,Review,Demi Human Chief
Video Games,Soulsborne Games,Uploading Video,2/16/2023,1:37:00 PM,2:08:00 PM,31,Elden Ring,Review,Demi Human Chief
Video Games,,Promoting,2/17/2023,3:50:00 PM,4:39:00 PM,49,,,
Video Games,Soulsborne Games,Stats,2/18/2023,7:24:00 AM,7:34:00 AM,10,Elden Ring,Review,Erdtree Burial Watchdog
Video Games,Soulsborne Games,Processing Raw Video,2/18/2023,7:35:00 AM,7:38:00 AM,3,Elden Ring,Review,Erdtree Burial Watchdog
Video Games,Soulsborne Games,Editing Video,2/18/2023,10:42:00 PM,11:24:00 PM,42,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Editing Video,2/19/2023,2:30:00 PM,3:01:00 PM,31,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Editing Video,2/19/2023,10:08:00 PM,11:05:00 PM,57,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Editing Video,2/21/2023,10:30:00 AM,12:13:00 PM,103,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Editing Video,2/21/2023,12:42:00 PM,1:49:00 PM,67,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Video notes,2/21/2023,2:19:00 PM,2:32:00 PM,13,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Recording Audio,2/21/2023,4:07:00 PM,4:24:00 PM,17,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Editing Video,2/21/2023,4:25:00 PM,4:50:00 PM,25,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Editing Video,2/21/2023,11:38:00 PM,11:46:00 PM,8,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Recording Audio,2/21/2023,11:47:00 PM,12:06:00 AM,-1421,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Recording Audio,2/22/2023,9:43:00 AM,10:37:00 AM,54,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Editing Video,2/22/2023,10:38:00 AM,11:06:00 AM,28,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Editing Video,2/22/2023,11:29:00 AM,12:20:00 PM,51,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Video notes,2/22/2023,2:19:00 PM,2:42:00 PM,23,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Recording Audio,2/22/2023,2:42:00 PM,3:02:00 PM,20,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Editing Video,2/22/2023,3:02:00 PM,3:10:00 PM,8,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Video notes,2/22/2023,7:10:00 PM,7:25:00 PM,15,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Video Notes,2/22/2023,7:53:00 PM,8:00:00 PM,7,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Recording Audio,2/22/2023,8:00:00 PM,8:12:00 PM,12,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Editing Video,2/22/2023,8:24:00 PM,9:34:00 PM,70,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Editing Video,2/23/2023,11:58:00 AM,12:13:00 PM,15,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Recording Audio,2/23/2023,12:14:00 PM,1:21:00 PM,67,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Recording Audio,2/23/2023,4:56:00 PM,5:01:00 PM,5,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Video Notes,2/23/2023,5:01:00 PM,5:10:00 PM,9,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Recording Audio,2/23/2023,5:10:00 PM,5:37:00 PM,27,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Editing Video,2/23/2023,7:04:00 PM,7:09:00 PM,5,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Editing Video,2/23/2023,7:12:00 PM,7:19:00 PM,7,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Editing Video,2/24/2023,8:00:00 AM,8:21:00 AM,21,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Editing Video,2/24/2023,10:23:00 AM,12:37:00 PM,134,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Editing Video,2/24/2023,1:44:00 PM,1:52:00 PM,8,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Watching and Edits,2/24/2023,1:53:00 PM,2:58:00 PM,65,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Uploading Video,2/24/2023,3:03:00 PM,3:10:00 PM,7,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Uploading Video,2/24/2023,3:37:00 PM,3:52:00 PM,15,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Editing Video,2/25/2023,8:30:00 AM,9:00:00 AM,30,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Editing Video,2/25/2023,1:50:00 PM,2:18:00 PM,28,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Uploading Video,2/25/2023,2:49:00 PM,3:04:00 PM,15,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Watching and Edits,2/25/2023,3:19:00 PM,3:39:00 PM,20,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Pictures,2/27/2023,2:00:00 PM,2:30:00 PM,30,Elden Ring,Playthrough,Part 5
Video Games,Soulsborne Games,Video Notes,2/28/2023,9:08:00 AM,9:28:00 AM,20,Elden Ring,Review,Erdtree Burial Watchdog
Video Games,Soulsborne Games,Outline,2/28/2023,9:29:00 AM,9:35:00 AM,6,Elden Ring,Review,Erdtree Burial Watchdog
Video Games,Soulsborne Games,Pictures,2/28/2023,11:10:00 AM,11:48:00 AM,38,Elden Ring,Review,Erdtree Burial Watchdog
Video Games,Soulsborne Games,Recording Audio,2/28/2023,11:49:00 AM,12:17:00 PM,28,Elden Ring,Review,Erdtree Burial Watchdog
Video Games,Soulsborne Games,Recording Audio,2/28/2023,1:17:00 PM,2:34:00 PM,77,Elden Ring,Review,Erdtree Burial Watchdog
Video Games,Soulsborne Games,Recording Audio,2/28/2023,2:35:00 PM,3:20:00 PM,45,Elden Ring,Review,Erdtree Burial Watchdog
Video Games,Soulsborne Games,Editing Video,3/1/2023,12:50:00 PM,12:55:00 PM,5,Elden Ring,Review,Erdtree Burial Watchdog
Video Games,Soulsborne Games,Editing Video,3/1/2023,1:34:00 PM,1:44:00 PM,10,Elden Ring,Review,Erdtree Burial Watchdog
Video Games,Soulsborne Games,Editing Video,3/1/2023,1:47:00 PM,3:04:00 PM,77,Elden Ring,Review,Erdtree Burial Watchdog
Video Games,Soulsborne Games,Editing Video,3/1/2023,3:35:00 PM,3:50:00 PM,15,Elden Ring,Review,Erdtree Burial Watchdog
Video Games,Soulsborne Games,Editing Video,3/1/2023,8:12:00 PM,9:31:00 PM,79,Elden Ring,Review,Erdtree Burial Watchdog
Video Games,Soulsborne Games,Editing Video,3/2/2023,8:33:00 AM,9:29:00 AM,56,Elden Ring,Review,Erdtree Burial Watchdog
Video Games,Soulsborne Games,Watching and Edits,3/2/2023,9:30:00 AM,9:47:00 AM,17,Elden Ring,Review,Erdtree Burial Watchdog
Video Games,Soulsborne Games,Uploading Video,3/2/2023,10:05:00 AM,10:15:00 AM,10,Elden Ring,Review,Erdtree Burial Watchdog
Video Games,Soulsborne Games,Pictures,3/2/2023,10:15:00 AM,10:26:00 AM,11,Elden Ring,Review,Erdtree Burial Watchdog
