media_title,video_type,video_subtype,expected_length_mins,complexity_new,complexity_media_depth,complexity_delivery_style,complexity_logistics,complexity_worklife,is_complete
A Nightmare on Elm Street,Review,3 Things,15,1,1,0,0,1,1
A Nightmare on Elm Street,Scene Breakdown,Freddy's Introduction,7,0,0,0,1,0,0
A Nightmare on Elm Street,Stats,Nightmare on Elm Street,15,1,0,0,0,0,0
A Nightmare on Elm Street 2:  Freddy's Revenge,Review,3 Things,15,0,1,0,1,0,0
A Nightmare on Elm Street 2:  Freddy's Revenge,Scene Breakdown,Freddy's Introduction,7,0,0,0,1,0,1
Baldur's Gate 3,Playthrough,Character Creation,10,1,1,1,0,0,1
Baldur's Gate 3,Playthrough,Nautiloid Ship,20,1,1,1,1,0,1
Elden Ring,Playthrough,Deaths 01,10,1,1,1,0,0,1
Elden Ring,Playthrough,Deaths 02,15,0,1,1,0,0,1
Elden Ring,Playthrough,Deaths 03,,,,,,,0
Elden Ring,Playthrough,Fringefolk,,,,,,,0
Elden Ring,Playthrough,Intro,,,,,,,0
Elden Ring,Playthrough,Lake Agheel,,,,,,,0
Elden Ring,Playthrough,Limgrave Dungeons,,,,,,,0
Elden Ring,Playthrough,Part 5,30,0,0,1,0,0,1
Elden Ring,Playthrough,Part 6,30,0,0,1,0,0,1
Elden Ring,Playthrough,Part 7,,,,,,,0
Elden Ring,Playthrough,Stormhill,,,,,,,0
Elden Ring,Review,Beastman of Farum Azula,10,1,0,1,0,0,1
Elden Ring,Review,Black Knife Assassin,10,0,0,1,0,0,1
Elden Ring,Review,Demi Human Chief,10,1,0,1,0,0,1
Elden Ring,Review,Erdtree Burial Watchdog,10,0,0,1,0,0,1
Elden Ring,Review,Godrick the Grafted,,,,,,,0
Elden Ring,Review,Mad Pumpkin Head,10,0,0,1,0,0,1
Elden Ring,Review,Margit the Fell Omen,10,0,0,1,0,0,1
Elden Ring,Review,Tree Sentinel,10,1,0,1,0,0,1
Elden Ring,Review,Ulcerated Tree Spirit,10,0,0,1,0,0,1
Grand Theft Auto V,Review,First Heist,20,0,1,1,0,0,1
Grand Theft Auto V,Review,Franklins Intro,15,1,1,1,0,0,1
Grand Theft Auto V,Review,Michael and Franklin Working Together,20,0,1,1,0,0,1
Grand Theft Auto V,Review,Prologue,10,1,0,1,0,0,1
Grand Theft Auto V,Review,Trevors Intro,,,,,,,0
Halloween,Rankings,Scene Rankings,25,1,1,0,0,0,1
Halloween,Review,3 Things,20,1,1,1,1,0,1
Halloween,Scene Breakdown,Judith Myers,,,,,,,0
Halloween,Shorts,3 Things,,,,,,,0
Halloween 2,Rankings,Scene Rankings,25,0,1,0,0,0,1
Halloween 2,Review,3 Things,20,0,1,1,1,0,1
Halloween 4: The Return of Michael Myers,Review,3 Things,20,0,1,1,0,0,1
Halloween 5: The Revenge of Michael Myers,Review,3 Things,20,0,1,1,0,0,1
Halloween 6: The Curse of Michael Myers,Review,3 Things,15,0,1,1,0,0,1
Halloween 6: The Curse of Michael Myers,Shorts,3 Things,,,,,,,0
Hitman WOA,Playthrough,Paris Bond,15,1,0,1,1,0,0
Hitman WOA,Playthrough,Paris Master,10,1,0,1,0,1,1
Hitman WOA,Playthrough,Paris Silenced Pistol,,,,,,,0
Hitman WOA,Playthrough,Sapienza Master,,,,,,,0
Indiana Jones Movies,Rankings,Movie Series By Category,,,,,,,0
Indiana Jones and the Dial of Destiny,Review,3 Things,15,1,1,1,0,0,1
Indiana Jones and the Kingdom of the Crystal Skull,Rankings,Scene Rankings,20,0,1,0,0,0,1
Indiana Jones and the Kingdom of the Crystal Skull,Review,3 Things,15,0,1,1,0,0,1
Indiana Jones and the Kingdom of the Crystal Skull,Scene Breakdown,Prologue,7,0,0,0,0,1,1
Indiana Jones and the Last Crusade,Rankings,Scene Rankings,20,0,1,0,1,0,1
Indiana Jones and the Last Crusade,Review,3 Things,15,0,1,1,0,0,1
Indiana Jones and the Last Crusade,Scene Breakdown,Prologue,7,0,0,0,0,1,1
Indiana Jones and the Temple of Doom,Rankings,Scene Rankings,25,0,1,0,0,0,1
Indiana Jones and the Temple of Doom,Review,3 Things,15,0,1,1,0,0,1
Indiana Jones and the Temple of Doom,Scene Breakdown,Prologue,7,0,0,0,0,1,1
Jaws,Review,3 Things,15,1,1,1,0,0,1
Jaws 2,Review,3 Things,15,0,1,1,1,0,1
Jaws 3-D,Review,3 Things,15,0,1,1,0,0,1
Jaws Movies,Rankings,Movie Series By Category,10,1,0,0,0,0,1
Jaws The Revenge,Review,3 Things,15,0,1,1,1,0,1
Jurassic Park,Rankings,Scene Rankings,20,1,1,0,0,0,1
Jurassic Park,Review,3 Things,15,1,1,1,0,0,1
Jurassic Park,Shorts,3 Things,,,,,,,0
Jurassic Park 3,Review,3 Things,15,0,1,1,0,1,1
Jurassic Park Movies,Essay,The Trex Ruined Jurassic Park,,,,,,,0
Jurassic Park Movies,Rankings,Character Rankings,,,,,,,0
Jurassic Park Movies,Rankings,Movie Series By Category,15,0,0,1,0,1,1
Jurassic World,Review,3 Things,15,0,1,1,0,1,1
Jurassic World: Dominion,Review,3 Things,15,1,1,1,0,1,1
Jurassic World: Fallen Kingdom,Review,3 Things,15,1,1,1,0,1,1
Jurassic World: Rebirth,Quick Thoughts,Quick Review,10,1,0,0,0,1,1
Man of Steel,Review,3 Things,,,,,,,0
Marvel's Spiderman,Review,The Main Event,,,,,,,0
Raiders of the Lost Ark,Rankings,Scene Rankings,25,0,1,0,0,0,1
Raiders of the Lost Ark,Review,3 Things,15,1,1,1,0,0,1
Raiders of the Lost Ark,Scene Breakdown,Prologue,7,1,0,0,0,1,1
Superman 2,Review,3 Things,15,0,1,1,0,1,1
Superman 3,Review,3 Things,15,0,1,1,0,1,1
Superman 4:  The Quest for Peace,Review,3 Things,15,0,1,1,0,1,1
Superman Movies,Essay,Superman and Lois Toxic Relationship,,,,,,,0
Superman Movies,Quick Thoughts,Series Summary,15,1,0,0,1,1,1
Superman: The Movie,Rankings,Scene Rankings,15,0,1,0,0,1,1
Superman: The Movie,Review,3 Things,15,1,1,1,0,1,1
Terminator Movies,Quick Thoughts,Series Summary,,,,,,,0
The Lost World: Jurassic Park,Rankings,Scene Rankings,20,0,1,0,0,0,1
The Lost World: Jurassic Park,Review,3 Things,15,1,1,1,0,1,1
The Witcher 3,Rankings,Velen Main Quests,,,,,,,0
The Witcher 3,Rankings,White Orchard Main Quests,7,1,0,0,0,0,1
The Witcher 3,Rankings,White Orchard Side Quests,7,0,0,0,0,0,1
The Witcher 3,Review,A Greedy God,10,0,0,0,0,0,1
The Witcher 3,Review,An Elusive Thief,10,0,0,0,0,0,1
The Witcher 3,Review,Bloody Baron,15,0,1,1,0,0,1
The Witcher 3,Review,Broken Flowers,15,0,1,1,0,0,1
The Witcher 3,Review,Count Reuven's Treasure,15,0,1,1,0,0,1
The Witcher 3,Review,Devil By the Well,10,1,0,0,0,0,1
The Witcher 3,Review,Family Matters,15,0,1,1,0,0,1
The Witcher 3,Review,Fool's Gold,10,0,0,0,0,0,1
The Witcher 3,Review,Forefather's Eve,10,0,0,0,0,0,1
The Witcher 3,Review,Funeral Pyres,10,0,0,0,0,0,1
The Witcher 3,Review,Get Junior,15,0,1,1,0,0,1
The Witcher 3,Review,Ghosts of the Past,10,0,1,1,0,0,1
The Witcher 3,Review,High Stakes,10,0,0,0,0,0,1
The Witcher 3,Review,Hunting a Witch,10,0,0,1,0,0,1
The Witcher 3,Review,Imperial Audience,10,0,0,0,0,0,1
The Witcher 3,Review,Kaer Morhen,10,1,1,1,0,0,1
The Witcher 3,Review,Ladies of the Wood,15,0,1,1,0,0,1
The Witcher 3,Review,Lilac and Gooseberries,15,0,1,1,0,0,1
The Witcher 3,Review,Missing in Action,10,0,0,0,0,0,1
The Witcher 3,Review,Novigrad Dreaming,10,0,0,0,0,0,1
The Witcher 3,Review,Patrol Gone Missing,10,0,0,0,0,0,1
The Witcher 3,Review,Precious Cargo,10,1,0,0,1,0,1
The Witcher 3,Review,Pyres of Novigrad,15,0,1,1,0,0,1
The Witcher 3,Review,Return to Crookback Bog,15,0,1,1,0,0,1
The Witcher 3,Review,Shrieker and Jenny of the Woods,10,1,0,1,0,0,1
The Witcher 3,Review,Swamp Thing,10,0,0,0,0,0,1
The Witcher 3,Review,The Merry Widow,10,0,0,0,0,0,1
The Witcher 3,Review,The Nilgaardian Connection,10,0,0,1,0,0,1
The Witcher 3,Review,The Volunteer,10,0,0,0,0,0,1
The Witcher 3,Review,Towerful of Mice,15,0,1,1,0,0,1
The Witcher 3,Review,Twisted Firestarter,10,1,0,0,0,0,1
The Witcher 3,Review,Wandering in the Dark,10,0,1,1,0,0,1
The Witcher 3,Review,Wild at Heart,10,0,0,0,0,0,1
The Witcher 3,Review,Witcher Wannabe,10,0,0,0,0,0,1
The Witcher 3,Review,Woodland Beast,10,0,0,0,0,0,1
